"	Healthcare","6","12","8","8","13","12","13","9","7","9","9","13","8","10","11","7","9","6","4","7","7","9","10","16","10","8","8","12","7","6","7","6","4","8","11","10","6","5","9","7","7","8","11","7","6","9","3","8","7","9","8","4","5"
"	Communications, Entertainment and Media","8","9","6","8","5","8","6","6","10","8","8","8","9","7","5","5","4","7","8","7","11","13","8","9","7","10","8","4","7","7","8","6","6","10","6","4","10","10","13","9","10","16","10","9","9","9","8","3","6","9","9","2","6"
"	Food and beverage","5","6","7","11","9","10","10","5","5","12","6","2","3","6","5","2","6","8","7","11","4","3","3","2","6","6","3","2","6","7","11","13","5","9","8","6","4","11","10","7","7","7","5","10","7","10","12","8","6","4","2","2","3"
"	Animal Services, Farming or Forestry","5","8","5","10","6","5","10","6","9","12","10","8","11","8","10","7","5","10","7","5","6","4","5","4","4","5","3","4","6","3","5","5","8","5","6","10","9","6","6","7","5","7","5","7","2","4","3","2","5","5","6","4","5"
"	Telecommunications","2","6","11","8","12","7","9","6","5","3","6","1","3","6","2","5","1","6","5","5","8","7","6","6","7","5","6","6","7","8","7","11","5","7","6","8","7","8","10","7","5","8","7","7","8","6","4","4","6","4","6","3","5"
"	Mining, Oil and Gas","5","5","4","5","7","7","7","5","6","7","7","6","7","7","6","7","5","6","5","5","5","6","7","5","5","5","7","6","5","7","6","4","3","4","4","3","5","7","9","5","3","0","3","2","5","2","3","3","1","1","2","0","3"
"	Sport and recreation","3","4","4","5","4","7","4","3","5","4","3","5","3","4","4","6","4","2","2","2","4","3","1","2","0","2","3","4","2","4","6","1","4","6","6","3","6","5","6","4","8","5","4","6","4","8","8","5","8","8","4","3","4"
"	Education or Tutoring","3","3","2","10","2","4","5","1","1","2","1","4","2","2","4","3","3","3","4","4","2","2","5","1","3","1","6","5","4","4","6","2","4","5","5","5","4","3","6","2","4","3","3","5","7","2","2","2","5","4","2","0","2"
"	Financial, Insurance or Legal Services","2","4","3","3","3","3","5","2","3","4","1","2","2","2","3","1","1","6","3","3","3","3","5","3","4","2","1","2","2","1","5","3","1","4","4","1","3","2","0","1","1","2","1","2","0","2","1","2","1","1","0","0","1"
"	Equipment rental and leasing","2","0","1","1","0","1","4","3","1","2","2","3","0","1","3","3","5","1","2","0","0","2","1","0","1","1","1","3","2","2","4","1","0","2","4","2","0","3","2","1","2","3","1","1","3","2","2","1","4","4","4","2","2"
"	Software","2","1","1","2","5","2","1","1","0","3","1","1","7","1","0","4","2","3","0","1","0","0","0","1","2","3","1","0","1","3","3","3","0","1","0","3","2","1","0","2","1","1","4","5","3","3","3","0","1","2","1","0","2"
"	Printers","1","5","2","2","1","1","5","2","1","2","2","0","2","2","3","5","1","3","0","1","2","3","1","4","2","2","2","1","1","3","0","2","2","1","2","0","2","1","1","2","1","0","1","0","2","0","2","1","0","0","1","0","0"
"	Home Watch","2","0","1","0","0","0","0","2","1","0","1","1","2","0","1","1","4","2","1","5","1","1","0","3","2","4","3","4","1","3","2","2","2","2","2","1","1","0","1","1","1","0","2","1","4","1","1","2","1","1","1","0","1"
"	Utilities","4","2","1","0","2","2","3","1","2","0","2","7","3","1","2","0","4","2","2","2","3","0","0","0","1","1","1","2","0","1","4","1","2","3","1","1","0","1","0","0","2","0","1","0","0","0","0","1","1","1","0","0","0"
"	Property management or real estate","2","2","0","1","3","2","1","1","0","3","1","1","0","0","1","0","3","1","1","1","0","2","1","2","1","2","0","1","0","1","1","3","1","2","2","2","1","0","2","1","4","3","1","1","0","2","2","1","0","0","0","0","0"
"	Photography","1","1","2","1","2","1","1","1","0","1","2","1","0","1","1","1","0","3","2","2","2","2","0","0","2","2","1","0","2","1","2","2","1","2","3","0","2","0","0","1","3","2","0","1","1","1","2","0","0","1","1","1","0"
"	Beauty","1","0","4","1","1","1","1","0","1","1","1","4","1","1","2","0","0","2","2","0","1","2","1","0","0","2","1","2","3","1","2","2","2","2","1","1","2","0","1","0","1","1","0","0","0","0","3","1","1","0","1","0","0"
"	Aerospace or defense","1","1","0","0","2","0","0","1","0","0","1","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","1","1","0","0","1","1","2","1","1","2","0","0","0","0","0","0","0"
"	Arborist Services","0","1","0","0","0","0","0","0","2","1","1","2","0","2","3","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
