"	https://app.amplitude.com/analytics/method/chart/new/451iachr"
"	Items App - On a weekly basis what type of item is created more? "

"	Totals"
"	Runtime Button Clicked","	appName is ""Items""","	buttonCaption is ""Inventory Part"""
"	Runtime Button Clicked","	appName is ""Items""","	buttonCaption is ""Non-Inventory Part"""
"	Runtime Button Clicked","	appName is ""Items""","	buttonCaption is ""Service"""

"	Event","	2024-01-01","	2024-01-08","	2024-01-15","	2024-01-22","	2024-01-29","	2024-02-05","	2024-02-12","	2024-02-19","	2024-02-26","	2024-03-04","	2024-03-11","	2024-03-18","	2024-03-25","	2024-04-01","	2024-04-08","	2024-04-15","	2024-04-22","	2024-04-29","	2024-05-06","	2024-05-13","	2024-05-20","	2024-05-27","	2024-06-03","	2024-06-10","	2024-06-17","	2024-06-24","	2024-07-01","	2024-07-08","	2024-07-15","	2024-07-22","	2024-07-29","	2024-08-05","	2024-08-12","	2024-08-19","	2024-08-26","	2024-09-02","	2024-09-09","	2024-09-16","	2024-09-23","	2024-09-30","	2024-10-07","	2024-10-14","	2024-10-21","	2024-10-28","	2024-11-04","	2024-11-11","	2024-11-18","	2024-11-25","	2024-12-02","	2024-12-09","	2024-12-16","	2024-12-23","	2024-12-30"
"	Runtime Button Clicked (Items; Inventory Part)","164","411","508","372","268","323","352","421","429","300","373","383","350","320","512","459","627","450","528","425","452","239","435","499","546","333","436","443","407","458","456","466","436","506","636","522","642","594","635","469","590","531","564","484","541","348","517","452","527","454","345","76","133"
"	Runtime Button Clicked (Items; Non-Inventory Part)","229","297","316","444","371","469","403","412","425","422","345","451","375","358","317","262","318","350","315","355","320","323","450","417","422","416","299","409","381","312","478","375","397","378","403","336","577","470","514","408","468","409","419","403","555","363","429","242","434","361","331","97","244"
"	Runtime Button Clicked (Items; Service)","65","108","59","117","62","69","69","127","49","147","73","78","60","48","54","89","75","118","78","88","81","128","66","107","105","111","86","53","63","80","89","102","87","59","87","65","76","103","80","130","109","83","75","78","101","80","99","61","71","89","113","17","75"
