"	https://app.amplitude.com/analytics/method/chart/0pr910we"
"	Items App - On a weekly basis what type of item is created more? "

"	Totals"
"	Runtime Button Clicked","	buttonCaption is ""Save & New"" or ""Save & Back""","	screenName is ""New / Edit Non-Inventory Part"" or ""New / Edit Non-Inventory Part (2)"" or ""New / Edit Non-Inventory Part (ARS)"" or ""New / Edit Non-Inventory Part CBS"" or ""New / Edit Non-Inventory Part_CC"" or ""New / Edit Non-Inventory Part V2"" or ""New / Edit Non-Inventory Part_IM"" or ""New / Edit Non-Inventory Part*"" or ""PSI New / Edit Non-Inventory Part"" or ""CO1 New / Edit Non-Inventory Part"" or ""New / Edit Non-Inventory Part(3)"" or ""New / Edit Non-Inventory Part(2)"" or ""Quick Entry New / Edit Non-Inventory Part"" or ""RLH New / Edit Non-Inventory Part"""
"	Runtime Button Clicked","	buttonCaption is ""Save & New"" or ""Save & Back""","	screenName is ""RLH New / Edit Inventory Part"" or ""New / Edit Inventory Part"" or ""New / Edit Inventory Part - HIDCOR"" or ""New / Edit Inventory Part V2"" or ""New / Edit Inventory Part with Logistic V1"" or ""New / Edit Inventory Part_ASCE"" or ""New / Edit Inventory Part_CC"" or ""New / Edit Inventory Part_Imperial"" or ""New / Edit Inventory Part(2)"" or ""New / Edit Inventory Part(3)"" or ""New / Edit Inventory Part(4)"" or ""New / Edit Inventory Part(5)"" or ""New / Edit Inventory Part(Knex)"" or ""New / Edit Inventory Part(lance)"" or ""New / Edit Inventory Part*"" or ""New / Edit Inventory Part*(2)"" or ""New / Edit Inventory Parts"" or ""AS - New / Edit Inventory Part"" or ""CO1 New / Edit Inventory Part"" or ""PSI New / Edit Inventory Part"""
"	Runtime Button Clicked","	buttonCaption is ""Save & New"" or ""Save & Back""","	screenName is ""New / Edit Service Item"" or ""New / Edit Service Item (2)"" or ""New / Edit Service Item (ARS)"" or ""New / Edit Service Item (SVP)"" or ""New / Edit Service Item Expense Work Order"" or ""New / Edit Service Item V2"" or ""New / Edit Service Item_CC"" or ""New / Edit Service Item_IM"" or ""New / Edit Service Item_SE"" or ""New / Edit Service Item(2)"" or ""New / Edit Service Item(3)"" or ""New / Edit Service Item*"" or ""MARS - New / Edit Service Item"" or ""PSI New / Edit Service Item"""

"	Custom Label","	Event","	2024-01-01","	2024-01-08","	2024-01-15","	2024-01-22","	2024-01-29","	2024-02-05","	2024-02-12","	2024-02-19","	2024-02-26","	2024-03-04","	2024-03-11","	2024-03-18","	2024-03-25","	2024-04-01","	2024-04-08","	2024-04-15","	2024-04-22","	2024-04-29","	2024-05-06","	2024-05-13","	2024-05-20","	2024-05-27","	2024-06-03","	2024-06-10","	2024-06-17","	2024-06-24","	2024-07-01","	2024-07-08","	2024-07-15","	2024-07-22","	2024-07-29","	2024-08-05","	2024-08-12","	2024-08-19","	2024-08-26","	2024-09-02","	2024-09-09","	2024-09-16","	2024-09-23","	2024-09-30","	2024-10-07","	2024-10-14","	2024-10-21","	2024-10-28","	2024-11-04","	2024-11-11","	2024-11-18","	2024-11-25","	2024-12-02","	2024-12-09","	2024-12-16","	2024-12-23","	2024-12-30"
"	Non-Inventory Items","	Runtime Button Clicked (Save & New, Save & Back; New / Edit Non-Inventory Part, New / Edit Non-Inventory Part (2), New / Edit Non-Inventory Part (ARS), New / Edit Non-Inventory Part CBS, New / Edit Non-Inventory Part_CC, New / Edit Non-Inventory Part V2, New / Edit Non-Inventory Part_IM, New / Edit Non-Inventory Part*, PSI New / Edit Non-Inventory Part, CO1 New / Edit Non-Inventory Part, New / Edit Non-Inventory Part(3), New / Edit Non-Inventory Part(2), Quick Entry New / Edit Non-Inventory Part, RLH New / Edit Non-Inventory Part)","461","630","468","714","644","770","735","2630","1386","2143","2851","1126","3456","753","667","616","646","847","836","623","665","676","876","742","987","770","497","1195","654","588","753","678","682","644","1313","558","888","874","906","822","1051","1312","999","1253","1317","694","668","431","865","557","644","170","402"
"	Inventory Items","	Runtime Button Clicked (Save & New, Save & Back; RLH New / Edit Inventory Part, New / Edit Inventory Part, New / Edit Inventory Part - HIDCOR, New / Edit Inventory Part V2, New / Edit Inventory Part with Logistic V1, New / Edit Inventory Part_ASCE, New / Edit Inventory Part_CC, New / Edit Inventory Part_Imperial, New / Edit Inventory Part(2), New / Edit Inventory Part(3), New / Edit Inventory Part(4), New / Edit Inventory Part(5), New / Edit Inventory Part(Knex), New / Edit Inventory Part(lance), New / Edit Inventory Part*, New / Edit Inventory Part*(2), New / Edit Inventory Parts, AS - New / Edit Inventory Part, CO1 New / Edit Inventory Part, PSI New / Edit Inventory Part)","940","3260","3269","3068","2913","3178","2097","2887","2217","4182","3193","6935","3015","2541","3556","4372","4205","3083","3472","3801","3387","2416","3655","3580","2938","3472","2498","3305","2746","2700","2442","2404","2892","3547","4548","2532","3384","2805","3515","2593","3097","2875","2714","2758","2712","2439","2314","2341","2798","2854","1847","457","539"
"	Service Items","	Runtime Button Clicked (Save & New, Save & Back; New / Edit Service Item, New / Edit Service Item (2), New / Edit Service Item (ARS), New / Edit Service Item (SVP), New / Edit Service Item Expense Work Order, New / Edit Service Item V2, New / Edit Service Item_CC, New / Edit Service Item_IM, New / Edit Service Item_SE, New / Edit Service Item(2), New / Edit Service Item(3), New / Edit Service Item*, MARS - New / Edit Service Item, PSI New / Edit Service Item)","300","132","150","291","106","121","139","235","84","169","100","107","109","132","120","128","70","198","122","119","120","107","156","107","192","102","159","115","72","63","104","129","168","112","124","65","184","72","128","188","240","349","150","106","123","54","217","76","226","276","285","6","64"
